exp	model	Grammaticality	Clause	count	mean_ci_lower	mean	mean_ci_upper	ContainsZero	direction	Training Type	Model Size
exp3	GPT2-small	ungram	appos	48	-0.5922	-0.4312	-0.2694	no	negative	Plain	124M
exp3	GPT2-small	ungram	restr	48	-0.9492	-0.7569	-0.5547	no	negative	Plain	124M
exp3	Llama-2-13B	gram	appos	48	-1.2727	-0.9122	-0.526	no	negative	Plain	13B
exp3	Llama-2-13B	gram	restr	48	-1.0681	-0.607	-0.1742	no	negative	Plain	13B
exp3	Llama-2-13B	ungram	appos	48	-1.6673	-1.2825	-0.9334	no	negative	Plain	13B
exp3	Llama-2-13B	ungram	restr	48	-1.3685	-0.9583	-0.5907	no	negative	Plain	13B
exp3	Llama-2-13B-Chat	gram	appos	48	-1.5438	-1.121	-0.7295	no	negative	Instruct	13B
exp3	Llama-2-13B-Chat	gram	restr	48	-1.1455	-0.6354	-0.1119	no	negative	Instruct	13B
exp3	Llama-2-13B-Chat	ungram	appos	48	-1.6395	-1.2654	-0.9151	no	negative	Instruct	13B
exp3	Llama-2-13B-Chat	ungram	restr	48	-1.2818	-0.9106	-0.5057	no	negative	Instruct	13B
exp3	Llama-2-7B	gram	appos	48	-1.1699	-0.7996	-0.4086	no	negative	Plain	7B
exp3	Llama-2-7B	gram	restr	48	-1.0614	-0.652	-0.2892	no	negative	Plain	7B
exp3	Llama-2-7B	ungram	appos	48	-1.5955	-1.2717	-0.9573	no	negative	Plain	7B
exp3	Llama-2-7B	ungram	restr	48	-1.4563	-1.1125	-0.7349	no	negative	Plain	7B
exp3	Llama-2-7B-Chat	gram	appos	48	-1.8513	-1.375	-0.8937	no	negative	Instruct	7B
exp3	Llama-2-7B-Chat	gram	restr	48	-1.6234	-1.0357	-0.4765	no	negative	Instruct	7B
exp3	Llama-2-7B-Chat	ungram	appos	48	-1.96	-1.5629	-1.158	no	negative	Instruct	7B
exp3	Llama-2-7B-Chat	ungram	restr	48	-1.7109	-1.2416	-0.8061	no	negative	Instruct	7B
exp3	Llama-3-8B	gram	appos	48	-1.0096	-0.6776	-0.3603	no	negative	Plain	8B
exp3	Llama-3-8B	gram	restr	48	-0.6696	-0.3523	-0.0281	no	negative	Plain	8B
exp3	Llama-3-8B	ungram	appos	48	-1.6205	-1.2185	-0.8129	no	negative	Plain	8B
exp3	Llama-3-8B	ungram	restr	48	-1.3003	-0.9462	-0.6048	no	negative	Plain	8B
exp3	Llama-3-8B-Instruct	gram	appos	48	-1.0218	-0.7002	-0.3916	no	negative	Instruct	8B
exp3	Llama-3-8B-Instruct	gram	restr	48	-0.7802	-0.4574	-0.1266	no	negative	Instruct	8B
exp3	Llama-3-8B-Instruct	ungram	appos	48	-1.3547	-1.0095	-0.6616	no	negative	Instruct	8B
exp3	Llama-3-8B-Instruct	ungram	restr	48	-0.9937	-0.6594	-0.3279	no	negative	Instruct	8B
exp3	Llama-3.1-8B	gram	appos	48	-1.1464	-0.7932	-0.4466	no	negative	Plain	8B
exp3	Llama-3.1-8B	gram	restr	48	-0.7713	-0.4202	-0.0941	no	negative	Plain	8B
exp3	Llama-3.1-8B	ungram	appos	48	-1.8877	-1.4545	-1.0338	no	negative	Plain	8B
exp3	Llama-3.1-8B	ungram	restr	48	-1.3237	-0.9629	-0.6311	no	negative	Plain	8B
exp3	Llama-3.1-8B-Instruct	gram	appos	48	-1.0713	-0.7797	-0.5005	no	negative	Instruct	8B
exp3	Llama-3.1-8B-Instruct	gram	restr	48	-0.6974	-0.44	-0.1669	no	negative	Instruct	8B
exp3	Llama-3.1-8B-Instruct	ungram	appos	48	-1.7882	-1.4415	-1.12	no	negative	Instruct	8B
exp3	Llama-3.1-8B-Instruct	ungram	restr	48	-1.0716	-0.794	-0.5018	no	negative	Instruct	8B
exp3	Mistral-7B-Instruct-v0.1	gram	appos	48	-0.8351	-0.528	-0.2397	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.1	gram	restr	48	-1.0288	-0.7054	-0.3911	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.1	ungram	appos	48	-0.9114	-0.6636	-0.4023	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.1	ungram	restr	48	-0.8735	-0.5839	-0.3006	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.2	gram	appos	48	-1.6224	-1.067	-0.5956	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.2	gram	restr	48	-1.4214	-0.8478	-0.2796	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.2	ungram	appos	48	-1.2953	-0.8505	-0.4307	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.2	ungram	restr	48	-1.2627	-0.7584	-0.3007	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.3	gram	appos	48	-0.869	-0.4953	-0.1166	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.3	gram	restr	48	-0.8669	-0.454	-0.0292	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.3	ungram	appos	48	-1.0697	-0.7617	-0.4642	no	negative	Instruct	7B
exp3	Mistral-7B-Instruct-v0.3	ungram	restr	48	-1.1667	-0.8156	-0.4171	no	negative	Instruct	7B
exp3	Mistral-7B-v0.1	gram	appos	48	-1.104	-0.6638	-0.2638	no	negative	Plain	7B
exp3	Mistral-7B-v0.1	gram	restr	48	-0.9179	-0.5346	-0.1619	no	negative	Plain	7B
exp3	Mistral-7B-v0.1	ungram	appos	48	-1.5707	-1.1885	-0.8188	no	negative	Plain	7B
exp3	Mistral-7B-v0.1	ungram	restr	48	-1.3988	-1.0792	-0.7612	no	negative	Plain	7B
exp3	Mistral-7B-v0.3	gram	appos	48	-1.083	-0.6551	-0.2408	no	negative	Plain	7B
exp3	Mistral-7B-v0.3	gram	restr	48	-0.9966	-0.5885	-0.2011	no	negative	Plain	7B
exp3	Mistral-7B-v0.3	ungram	appos	48	-1.484	-1.1127	-0.7882	no	negative	Plain	7B
exp3	Mistral-7B-v0.3	ungram	restr	48	-1.4296	-1.0409	-0.6739	no	negative	Plain	7B
