ItemNo	Clause	Distractor	Grammaticality	Condition	Question	Answer	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	sentence	model	surp	modelname	exp
45	appos	plural	gram	e.appos.plural.gram	Was it the singer who was the best on the stage?	no	The_dancer,	who	learned	about	the_moves,	clearly	was	the	best	on	the	stage.		The dancer, who learned about the moves, clearly was	Llama-2-13B-Chat	5.3123955726623535	meta-llama/Llama-2-13b-chat-hf	exp1
45	appos	singular	gram	e.appos.singular.gram	Was it the singer who was the best on the stage?	no	The_dancer,	who	learned	about	the_move,	clearly	was	the	best	on	the	stage.		The dancer, who learned about the move, clearly was	Llama-2-13B-Chat	4.585972309112549	meta-llama/Llama-2-13b-chat-hf	exp1
45	appos	plural	ungram	e.appos.plural.ungram	Was it the singer who was the best on the stage?	no	The_dancer,	who	learned	about	the_moves,	clearly	were	the	best	on	the	stage.		The dancer, who learned about the moves, clearly were	Llama-2-13B-Chat	13.974201202392578	meta-llama/Llama-2-13b-chat-hf	exp1
45	appos	singular	ungram	e.appos.singular.ungram	Was it the singer who was the best on the stage?	no	The_dancer,	who	learned	about	the_move,	clearly	were	the	best	on	the	stage.		The dancer, who learned about the move, clearly were	Llama-2-13B-Chat	14.352341651916504	meta-llama/Llama-2-13b-chat-hf	exp1
45	restr	plural	gram	e.restr.plural.gram	Was it the singer who was the best on the stage?	no	The_dancer	who	learned	about	the_moves	clearly	was	the	best	on	the	stage.		The dancer who learned about the moves clearly was	Llama-2-13B-Chat	5.211052417755127	meta-llama/Llama-2-13b-chat-hf	exp1
45	restr	singular	gram	e.restr.singular.gram	Was it the singer who was the best on the stage?	no	The_dancer	who	learned	about	the_move	clearly	was	the	best	on	the	stage.		The dancer who learned about the move clearly was	Llama-2-13B-Chat	4.5991387367248535	meta-llama/Llama-2-13b-chat-hf	exp1
45	restr	plural	ungram	e.restr.plural.ungram	Was it the singer who was the best on the stage?	no	The_dancer	who	learned	about	the_moves	clearly	were	the	best	on	the	stage.		The dancer who learned about the moves clearly were	Llama-2-13B-Chat	10.24921417236328	meta-llama/Llama-2-13b-chat-hf	exp1
45	restr	singular	ungram	e.restr.singular.ungram	Was it the singer who was the best on the stage?	no	The_dancer	who	learned	about	the_move	clearly	were	the	best	on	the	stage.		The dancer who learned about the move clearly were	Llama-2-13B-Chat	12.33671760559082	meta-llama/Llama-2-13b-chat-hf	exp1
46	appos	plural	gram	e.appos.plural.gram	Was it the candidates who were nervous about the upcoming debate?	no	The_reporter,	who	met	with	the_candidates,	definitely	was	nervous	about	the	upcoming	debate.		The reporter, who met with the candidates, definitely was	Llama-2-13B-Chat	7.764238357543945	meta-llama/Llama-2-13b-chat-hf	exp1
46	appos	singular	gram	e.appos.singular.gram	Was it the candidate who was nervous about the upcoming debate?	no	The_reporter,	who	met	with	the_candidate,	definitely	was	nervous	about	the	upcoming	debate.		The reporter, who met with the candidate, definitely was	Llama-2-13B-Chat	7.161038398742676	meta-llama/Llama-2-13b-chat-hf	exp1
46	appos	plural	ungram	e.appos.plural.ungram	Was it the candidates who were nervous about the upcoming debate?	no	The_reporter,	who	met	with	the_candidates,	definitely	were	nervous	about	the	upcoming	debate.		The reporter, who met with the candidates, definitely were	Llama-2-13B-Chat	14.092936515808104	meta-llama/Llama-2-13b-chat-hf	exp1
46	appos	singular	ungram	e.appos.singular.ungram	Was it the candidate who was nervous about the upcoming debate?	no	The_reporter,	who	met	with	the_candidate,	definitely	were	nervous	about	the	upcoming	debate.		The reporter, who met with the candidate, definitely were	Llama-2-13B-Chat	15.625600814819336	meta-llama/Llama-2-13b-chat-hf	exp1
46	restr	plural	gram	e.restr.plural.gram	Was it the candidates who were nervous about the upcoming debate?	no	The_reporter	who	met	with	the_candidates	definitely	was	nervous	about	the	upcoming	debate.		The reporter who met with the candidates definitely was	Llama-2-13B-Chat	7.111756801605225	meta-llama/Llama-2-13b-chat-hf	exp1
46	restr	singular	gram	e.restr.singular.gram	Was it the candidate who was nervous about the upcoming debate?	no	The_reporter	who	met	with	the_candidate	definitely	was	nervous	about	the	upcoming	debate.		The reporter who met with the candidate definitely was	Llama-2-13B-Chat	7.104119777679443	meta-llama/Llama-2-13b-chat-hf	exp1
46	restr	plural	ungram	e.restr.plural.ungram	Was it the candidates who were nervous about the upcoming debate?	no	The_reporter	who	met	with	the_candidates	definitely	were	nervous	about	the	upcoming	debate.		The reporter who met with the candidates definitely were	Llama-2-13B-Chat	15.45797348022461	meta-llama/Llama-2-13b-chat-hf	exp1
46	restr	singular	ungram	e.restr.singular.ungram	Was it the candidate who was nervous about the upcoming debate?	no	The_reporter	who	met	with	the_candidate	definitely	were	nervous	about	the	upcoming	debate.		The reporter who met with the candidate definitely were	Llama-2-13B-Chat	15.715205192565918	meta-llama/Llama-2-13b-chat-hf	exp1
47	appos	plural	gram	e.appos.plural.gram	Was the fan displeased with the performance?	yes	The_fan,	who	met	with	the_musicians,	certainly	was	displeased	with	the	horrible	performance.		The fan, who met with the musicians, certainly was	Llama-2-13B-Chat	4.42841100692749	meta-llama/Llama-2-13b-chat-hf	exp1
47	appos	singular	gram	e.appos.singular.gram	Was the fan displeased with the performance?	yes	The_fan,	who	met	with	the_musician,	certainly	was	displeased	with	the	horrible	performance.		The fan, who met with the musician, certainly was	Llama-2-13B-Chat	4.468192100524902	meta-llama/Llama-2-13b-chat-hf	exp1
47	appos	plural	ungram	e.appos.plural.ungram	Was the fan displeased with the performance?	yes	The_fan,	who	met	with	the_musicians,	certainly	were	displeased	with	the	horrible	performance.		The fan, who met with the musicians, certainly were	Llama-2-13B-Chat	12.577383041381836	meta-llama/Llama-2-13b-chat-hf	exp1
47	appos	singular	ungram	e.appos.singular.ungram	Was the fan displeased with the performance?	yes	The_fan,	who	met	with	the_musician,	certainly	were	displeased	with	the	horrible	performance.		The fan, who met with the musician, certainly were	Llama-2-13B-Chat	13.107455253601074	meta-llama/Llama-2-13b-chat-hf	exp1
47	restr	plural	gram	e.restr.plural.gram	Was the fan displeased with the performance?	yes	The_fan	who	met	with	the_musicians	certainly	was	displeased	with	the	horrible	performance.		The fan who met with the musicians certainly was	Llama-2-13B-Chat	4.711087703704834	meta-llama/Llama-2-13b-chat-hf	exp1
47	restr	singular	gram	e.restr.singular.gram	Was the fan displeased with the performance?	yes	The_fan	who	met	with	the_musician	certainly	was	displeased	with	the	horrible	performance.		The fan who met with the musician certainly was	Llama-2-13B-Chat	4.668942451477051	meta-llama/Llama-2-13b-chat-hf	exp1
47	restr	plural	ungram	e.restr.plural.ungram	Was the fan displeased with the performance?	yes	The_fan	who	met	with	the_musicians	certainly	were	displeased	with	the	horrible	performance.		The fan who met with the musicians certainly were	Llama-2-13B-Chat	13.773015975952148	meta-llama/Llama-2-13b-chat-hf	exp1
47	restr	singular	ungram	e.restr.singular.ungram	Was the fan displeased with the performance?	yes	The_fan	who	met	with	the_musician	certainly	were	displeased	with	the	horrible	performance.		The fan who met with the musician certainly were	Llama-2-13B-Chat	13.888665199279783	meta-llama/Llama-2-13b-chat-hf	exp1
48	appos	plural	gram	e.appos.plural.gram	Was it the diplomats who were confused about the political situation?	no	The_journalist,	who	met	with	the_diplomats,	undoubtedly	was	confused	about	the	current	political	situation.	The journalist, who met with the diplomats, undoubtedly was	Llama-2-13B-Chat	5.028991222381592	meta-llama/Llama-2-13b-chat-hf	exp1
48	appos	singular	gram	e.appos.singular.gram	Was it the diplomat who was confused about the political situation?	no	The_journalist,	who	met	with	the_diplomat,	undoubtedly	was	confused	about	the	current	political	situation.	The journalist, who met with the diplomat, undoubtedly was	Llama-2-13B-Chat	5.0808305740356445	meta-llama/Llama-2-13b-chat-hf	exp1
48	appos	plural	ungram	e.appos.plural.ungram	Was it the diplomats who were confused about the political situation?	no	The_journalist,	who	met	with	the_diplomats,	undoubtedly	were	confused	about	the	current	political	situation.	The journalist, who met with the diplomats, undoubtedly were	Llama-2-13B-Chat	11.859251022338867	meta-llama/Llama-2-13b-chat-hf	exp1
48	appos	singular	ungram	e.appos.singular.ungram	Was it the diplomat who was confused about the political situation?	no	The_journalist,	who	met	with	the_diplomat,	undoubtedly	were	confused	about	the	current	political	situation.	The journalist, who met with the diplomat, undoubtedly were	Llama-2-13B-Chat	13.562299728393556	meta-llama/Llama-2-13b-chat-hf	exp1
48	restr	plural	gram	e.restr.plural.gram	Was it the diplomats who were confused about the political situation?	no	The_journalist	who	met	with	the_diplomats	undoubtedly	was	confused	about	the	current	political	situation.	The journalist who met with the diplomats undoubtedly was	Llama-2-13B-Chat	5.023677349090576	meta-llama/Llama-2-13b-chat-hf	exp1
48	restr	singular	gram	e.restr.singular.gram	Was it the diplomat who was confused about the political situation?	no	The_journalist	who	met	with	the_diplomat	undoubtedly	was	confused	about	the	current	political	situation.	The journalist who met with the diplomat undoubtedly was	Llama-2-13B-Chat	4.820550441741943	meta-llama/Llama-2-13b-chat-hf	exp1
48	restr	plural	ungram	e.restr.plural.ungram	Was it the diplomats who were confused about the political situation?	no	The_journalist	who	met	with	the_diplomats	undoubtedly	were	confused	about	the	current	political	situation.	The journalist who met with the diplomats undoubtedly were	Llama-2-13B-Chat	13.105022430419922	meta-llama/Llama-2-13b-chat-hf	exp1
48	restr	singular	ungram	e.restr.singular.ungram	Was it the diplomat who was confused about the political situation?	no	The_journalist	who	met	with	the_diplomat	undoubtedly	were	confused	about	the	current	political	situation.	The journalist who met with the diplomat undoubtedly were	Llama-2-13B-Chat	14.06844997406006	meta-llama/Llama-2-13b-chat-hf	exp1
1	appos	plural	gram	e.appos.plural.gram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girls,	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress, who sat near the girls, unsurprisingly was	Llama-3-8B	4.838153839111328	meta-llama/Meta-Llama-3-8B	exp1
1	appos	singular	gram	e.appos.singular.gram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girl,	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress, who sat near the girl, unsurprisingly was	Llama-3-8B	4.988931179046631	meta-llama/Meta-Llama-3-8B	exp1
1	appos	plural	ungram	e.appos.plural.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girls,	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress, who sat near the girls, unsurprisingly were	Llama-3-8B	13.209895133972168	meta-llama/Meta-Llama-3-8B	exp1
1	appos	singular	ungram	e.appos.singular.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girl,	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress, who sat near the girl, unsurprisingly were	Llama-3-8B	12.895198822021484	meta-llama/Meta-Llama-3-8B	exp1
1	restr	plural	gram	e.restr.plural.gram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girls	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress who sat near the girls unsurprisingly was	Llama-3-8B	4.885448932647705	meta-llama/Meta-Llama-3-8B	exp1
1	restr	singular	gram	e.restr.singular.gram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girl	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress who sat near the girl unsurprisingly was	Llama-3-8B	4.800319671630859	meta-llama/Meta-Llama-3-8B	exp1
1	restr	plural	ungram	e.restr.plural.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girls	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress who sat near the girls unsurprisingly were	Llama-3-8B	12.32391357421875	meta-llama/Meta-Llama-3-8B	exp1
1	restr	singular	ungram	e.restr.singular.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girl	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress who sat near the girl unsurprisingly were	Llama-3-8B	12.466582298278809	meta-llama/Meta-Llama-3-8B	exp1
2	appos	plural	gram	e.appos.plural.gram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_holes,	unfortunately	was	covered	in	mud	all	over.		The dog, which dug in the holes, unfortunately was	Llama-3-8B	5.419367790222168	meta-llama/Meta-Llama-3-8B	exp1
2	appos	singular	gram	e.appos.singular.gram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_hole,	unfortunately	was	covered	in	mud	all	over.		The dog, which dug in the hole, unfortunately was	Llama-3-8B	5.520862579345703	meta-llama/Meta-Llama-3-8B	exp1
2	appos	plural	ungram	e.appos.plural.ungram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_holes,	unfortunately	were	covered	in	mud	all	over.		The dog, which dug in the holes, unfortunately were	Llama-3-8B	11.598217010498049	meta-llama/Meta-Llama-3-8B	exp1
2	appos	singular	ungram	e.appos.singular.ungram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_hole,	unfortunately	were	covered	in	mud	all	over.		The dog, which dug in the hole, unfortunately were	Llama-3-8B	12.889073371887209	meta-llama/Meta-Llama-3-8B	exp1
2	restr	plural	gram	e.restr.plural.gram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_holes	unfortunately	was	covered	in	mud	all	over.		The dog which dug in the holes unfortunately was	Llama-3-8B	4.456887722015381	meta-llama/Meta-Llama-3-8B	exp1
2	restr	singular	gram	e.restr.singular.gram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_hole	unfortunately	was	covered	in	mud	all	over.		The dog which dug in the hole unfortunately was	Llama-3-8B	4.41115665435791	meta-llama/Meta-Llama-3-8B	exp1
2	restr	plural	ungram	e.restr.plural.ungram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_holes	unfortunately	were	covered	in	mud	all	over.		The dog which dug in the holes unfortunately were	Llama-3-8B	9.34616756439209	meta-llama/Meta-Llama-3-8B	exp1
2	restr	singular	ungram	e.restr.singular.ungram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_hole	unfortunately	were	covered	in	mud	all	over.		The dog which dug in the hole unfortunately were	Llama-3-8B	11.916269302368164	meta-llama/Meta-Llama-3-8B	exp1
3	appos	plural	gram	e.appos.plural.gram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_games,	apparently	was	more	competitive	than	ever	before.		The boy, who played in the games, apparently was	Llama-3-8B	4.260601997375488	meta-llama/Meta-Llama-3-8B	exp1
3	appos	singular	gram	e.appos.singular.gram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_game,	apparently	was	more	competitive	than	ever	before.		The boy, who played in the game, apparently was	Llama-3-8B	4.323949337005615	meta-llama/Meta-Llama-3-8B	exp1
3	appos	plural	ungram	e.appos.plural.ungram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_games,	apparently	were	more	competitive	than	ever	before.		The boy, who played in the games, apparently were	Llama-3-8B	12.933307647705078	meta-llama/Meta-Llama-3-8B	exp1
3	appos	singular	ungram	e.appos.singular.ungram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_game,	apparently	were	more	competitive	than	ever	before.		The boy, who played in the game, apparently were	Llama-3-8B	14.811192512512209	meta-llama/Meta-Llama-3-8B	exp1
3	restr	plural	gram	e.restr.plural.gram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_games	apparently	was	more	competitive	than	ever	before.		The boy who played in the games apparently was	Llama-3-8B	4.499621868133545	meta-llama/Meta-Llama-3-8B	exp1
3	restr	singular	gram	e.restr.singular.gram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_game	apparently	was	more	competitive	than	ever	before.		The boy who played in the game apparently was	Llama-3-8B	3.67335844039917	meta-llama/Meta-Llama-3-8B	exp1
3	restr	plural	ungram	e.restr.plural.ungram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_games	apparently	were	more	competitive	than	ever	before.		The boy who played in the games apparently were	Llama-3-8B	14.272753715515137	meta-llama/Meta-Llama-3-8B	exp1
3	restr	singular	ungram	e.restr.singular.ungram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_game	apparently	were	more	competitive	than	ever	before.		The boy who played in the game apparently were	Llama-3-8B	13.743077278137209	meta-llama/Meta-Llama-3-8B	exp1
4	appos	plural	gram	e.appos.plural.gram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kids,	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kids, unsurprisingly was	Llama-3-8B	3.731101036071778	meta-llama/Meta-Llama-3-8B	exp1
4	appos	singular	gram	e.appos.singular.gram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kid,	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kid, unsurprisingly was	Llama-3-8B	3.93328857421875	meta-llama/Meta-Llama-3-8B	exp1
4	appos	plural	ungram	e.appos.plural.ungram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kids,	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kids, unsurprisingly were	Llama-3-8B	14.227155685424805	meta-llama/Meta-Llama-3-8B	exp1
4	appos	singular	ungram	e.appos.singular.ungram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kid,	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kid, unsurprisingly were	Llama-3-8B	13.31956386566162	meta-llama/Meta-Llama-3-8B	exp1
4	restr	plural	gram	e.restr.plural.gram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kids	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kids unsurprisingly was	Llama-3-8B	4.417605400085449	meta-llama/Meta-Llama-3-8B	exp1
4	restr	singular	gram	e.restr.singular.gram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kid	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kid unsurprisingly was	Llama-3-8B	4.216851234436035	meta-llama/Meta-Llama-3-8B	exp1
4	restr	plural	ungram	e.restr.plural.ungram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kids	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kids unsurprisingly were	Llama-3-8B	13.918078422546388	meta-llama/Meta-Llama-3-8B	exp1
4	restr	singular	ungram	e.restr.singular.ungram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kid	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kid unsurprisingly were	Llama-3-8B	14.32280445098877	meta-llama/Meta-Llama-3-8B	exp1
5	appos	plural	gram	e.appos.plural.gram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toys,	definitely	was	in	a	lot	of	trouble.		The kid, who hid behind the toys, definitely was	Llama-3-8B	5.093409061431885	meta-llama/Meta-Llama-3-8B	exp1
5	appos	singular	gram	e.appos.singular.gram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toy,	definitely	was	in	a	lot	of	trouble.		The kid, who hid behind the toy, definitely was	Llama-3-8B	5.333729267120361	meta-llama/Meta-Llama-3-8B	exp1
5	appos	plural	ungram	e.appos.plural.ungram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toys,	definitely	were	in	a	lot	of	trouble.		The kid, who hid behind the toys, definitely were	Llama-3-8B	13.799201011657717	meta-llama/Meta-Llama-3-8B	exp1
5	appos	singular	ungram	e.appos.singular.ungram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toy,	definitely	were	in	a	lot	of	trouble.		The kid, who hid behind the toy, definitely were	Llama-3-8B	14.578181266784668	meta-llama/Meta-Llama-3-8B	exp1
5	restr	plural	gram	e.restr.plural.gram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toys	definitely	was	in	a	lot	of	trouble.		The kid who hid behind the toys definitely was	Llama-3-8B	5.131594657897949	meta-llama/Meta-Llama-3-8B	exp1
5	restr	singular	gram	e.restr.singular.gram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toy	definitely	was	in	a	lot	of	trouble.		The kid who hid behind the toy definitely was	Llama-3-8B	5.2255778312683105	meta-llama/Meta-Llama-3-8B	exp1
5	restr	plural	ungram	e.restr.plural.ungram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toys	definitely	were	in	a	lot	of	trouble.		The kid who hid behind the toys definitely were	Llama-3-8B	13.916277885437012	meta-llama/Meta-Llama-3-8B	exp1
5	restr	singular	ungram	e.restr.singular.ungram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toy	definitely	were	in	a	lot	of	trouble.		The kid who hid behind the toy definitely were	Llama-3-8B	14.299765586853027	meta-llama/Meta-Llama-3-8B	exp1
6	appos	plural	gram	e.appos.plural.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhoods,	evidently	was	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhoods, evidently was	Llama-3-8B	4.381900310516357	meta-llama/Meta-Llama-3-8B	exp1
6	appos	singular	gram	e.appos.singular.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhood,	evidently	was	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhood, evidently was	Llama-3-8B	4.265867233276367	meta-llama/Meta-Llama-3-8B	exp1
6	appos	plural	ungram	e.appos.plural.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhoods,	evidently	were	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhoods, evidently were	Llama-3-8B	11.985057830810549	meta-llama/Meta-Llama-3-8B	exp1
6	appos	singular	ungram	e.appos.singular.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhood,	evidently	were	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhood, evidently were	Llama-3-8B	12.992679595947266	meta-llama/Meta-Llama-3-8B	exp1
6	restr	plural	gram	e.restr.plural.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhoods	evidently	was	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhoods evidently was	Llama-3-8B	3.5888190269470215	meta-llama/Meta-Llama-3-8B	exp1
6	restr	singular	gram	e.restr.singular.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhood	evidently	was	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhood evidently was	Llama-3-8B	3.3763861656188965	meta-llama/Meta-Llama-3-8B	exp1
6	restr	plural	ungram	e.restr.plural.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhoods	evidently	were	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhoods evidently were	Llama-3-8B	9.956345558166504	meta-llama/Meta-Llama-3-8B	exp1
6	restr	singular	ungram	e.restr.singular.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhood	evidently	were	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhood evidently were	Llama-3-8B	12.934141159057615	meta-llama/Meta-Llama-3-8B	exp1
7	appos	plural	gram	e.appos.plural.gram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_cans,	evidently	was	seen	on	the	side	of	the_road.	The goat, which ate from the cans, evidently was	Llama-3-8B	4.549461841583252	meta-llama/Meta-Llama-3-8B	exp1
7	appos	singular	gram	e.appos.singular.gram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_can,	evidently	was	seen	on	the	side	of	the_road.	The goat, which ate from the can, evidently was	Llama-3-8B	4.565934181213379	meta-llama/Meta-Llama-3-8B	exp1
7	appos	plural	ungram	e.appos.plural.ungram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_cans,	evidently	were	seen	on	the	side	of	the_road.	The goat, which ate from the cans, evidently were	Llama-3-8B	11.04483127593994	meta-llama/Meta-Llama-3-8B	exp1
7	appos	singular	ungram	e.appos.singular.ungram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_can,	evidently	were	seen	on	the	side	of	the_road.	The goat, which ate from the can, evidently were	Llama-3-8B	13.837986946105955	meta-llama/Meta-Llama-3-8B	exp1
7	restr	plural	gram	e.restr.plural.gram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_cans	evidently	was	seen	on	the	side	of	the_road.	The goat which ate from the cans evidently was	Llama-3-8B	4.420429706573486	meta-llama/Meta-Llama-3-8B	exp1
7	restr	singular	gram	e.restr.singular.gram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_can	evidently	was	seen	on	the	side	of	the_road.	The goat which ate from the can evidently was	Llama-3-8B	4.531146049499512	meta-llama/Meta-Llama-3-8B	exp1
7	restr	plural	ungram	e.restr.plural.ungram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_cans	evidently	were	seen	on	the	side	of	the_road.	The goat which ate from the cans evidently were	Llama-3-8B	10.973187446594238	meta-llama/Meta-Llama-3-8B	exp1
7	restr	singular	ungram	e.restr.singular.ungram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_can	evidently	were	seen	on	the	side	of	the_road.	The goat which ate from the can evidently were	Llama-3-8B	12.623825073242188	meta-llama/Meta-Llama-3-8B	exp1
8	appos	plural	gram	e.appos.plural.gram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiments,	suddenly	was	scared	about	all	the_consequences.			The scientist, who prepared for the experiments, suddenly was	Llama-3-8B	7.055327415466309	meta-llama/Meta-Llama-3-8B	exp1
8	appos	singular	gram	e.appos.singular.gram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiment,	suddenly	was	scared	about	all	the_consequences.			The scientist, who prepared for the experiment, suddenly was	Llama-3-8B	7.278387069702148	meta-llama/Meta-Llama-3-8B	exp1
8	appos	plural	ungram	e.appos.plural.ungram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiments,	suddenly	were	scared	about	all	the_consequences.			The scientist, who prepared for the experiments, suddenly were	Llama-3-8B	13.87734031677246	meta-llama/Meta-Llama-3-8B	exp1
8	appos	singular	ungram	e.appos.singular.ungram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiment,	suddenly	were	scared	about	all	the_consequences.			The scientist, who prepared for the experiment, suddenly were	Llama-3-8B	14.635903358459473	meta-llama/Meta-Llama-3-8B	exp1
8	restr	plural	gram	e.restr.plural.gram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiments	suddenly	was	scared	about	all	the_consequences.			The scientist who prepared for the experiments suddenly was	Llama-3-8B	7.528876304626465	meta-llama/Meta-Llama-3-8B	exp1
8	restr	singular	gram	e.restr.singular.gram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiment	suddenly	was	scared	about	all	the_consequences.			The scientist who prepared for the experiment suddenly was	Llama-3-8B	7.237209320068359	meta-llama/Meta-Llama-3-8B	exp1
8	restr	plural	ungram	e.restr.plural.ungram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiments	suddenly	were	scared	about	all	the_consequences.			The scientist who prepared for the experiments suddenly were	Llama-3-8B	13.552631378173828	meta-llama/Meta-Llama-3-8B	exp1
8	restr	singular	ungram	e.restr.singular.ungram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiment	suddenly	were	scared	about	all	the_consequences.			The scientist who prepared for the experiment suddenly were	Llama-3-8B	13.53353214263916	meta-llama/Meta-Llama-3-8B	exp1
9	appos	plural	gram	e.appos.plural.gram	Was it likely that the student was worried about her grade?	yes	The_student,	who	wrote	to	the_professors,	likely	was	concerned	about	her	low	grade.		The student, who wrote to the professors, likely was	Llama-3-8B	4.80999231338501	meta-llama/Meta-Llama-3-8B	exp1
