ItemNo	Clause	Distractor	Grammaticality	Condition	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	sentence	model	surp	modelname	exp
18	restr	plural	gram	e.restr.plural.gram	The	skateboarders	who	the	kid	admires	passionately	always	sign	autographs	for	fans.									The skateboarders who the kid admires	Llama-2-7B	10.695762813091278	meta-llama/Llama-2-7b-hf	exp2
18	restr	singular	gram	e.restr.singular.gram	The	skateboarder	who	the	kid	admires	passionately	always	signs	autographs	for	fans.									The skateboarder who the kid admires	Llama-2-7B	10.66600638628006	meta-llama/Llama-2-7b-hf	exp2
18	restr	plural	ungram	e.restr.plural.ungram	The	skateboarders	who	the	kid	admire	passionately	always	sign	autographs	for	fans.									The skateboarders who the kid admire	Llama-2-7B	14.663174152374268	meta-llama/Llama-2-7b-hf	exp2
18	restr	singular	ungram	e.restr.singular.ungram	The	skateboarder	who	the	kid	admire	passionately	always	signs	autographs	for	fans.									The skateboarder who the kid admire	Llama-2-7B	17.789313316345215	meta-llama/Llama-2-7b-hf	exp2
18	appos	plural	gram	e.appos.plural.gram	The	skateboarders,	who	the	kid	admires	passionately,	always	sign	autographs	for	fans.									The skateboarders, who the kid admires	Llama-2-7B	10.409881174564362	meta-llama/Llama-2-7b-hf	exp2
18	appos	singular	gram	e.appos.singular.gram	The	skateboarder,	who	the	kid	admires	passionately,	always	signs	autographs	for	fans.									The skateboarder, who the kid admires	Llama-2-7B	8.849608063697815	meta-llama/Llama-2-7b-hf	exp2
18	appos	plural	ungram	e.appos.plural.ungram	The	skateboarders,	who	the	kid	admire	passionately,	always	sign	autographs	for	fans.									The skateboarders, who the kid admire	Llama-2-7B	16.18066167831421	meta-llama/Llama-2-7b-hf	exp2
18	appos	singular	ungram	e.appos.singular.ungram	The	skateboarder,	who	the	kid	admire	passionately,	always	signs	autographs	for	fans.									The skateboarder, who the kid admire	Llama-2-7B	16.581551551818848	meta-llama/Llama-2-7b-hf	exp2
19	restr	plural	gram	e.restr.plural.gram	The	chefs	who	the	gourmet	visits	regularly	always	come	up	with	daring	new	recipes.							The chefs who the gourmet visits	Llama-2-7B	14.763083066791296	meta-llama/Llama-2-7b-hf	exp2
19	restr	singular	gram	e.restr.singular.gram	The	chef	who	the	gourmet	visits	regularly	always	comes	up	with	daring	new	recipes.							The chef who the gourmet visits	Llama-2-7B	13.766011828556657	meta-llama/Llama-2-7b-hf	exp2
19	restr	plural	ungram	e.restr.plural.ungram	The	chefs	who	the	gourmet	visit	regularly	always	come	up	with	daring	new	recipes.							The chefs who the gourmet visit	Llama-2-7B	13.165285110473633	meta-llama/Llama-2-7b-hf	exp2
19	restr	singular	ungram	e.restr.singular.ungram	The	chef	who	the	gourmet	visit	regularly	always	comes	up	with	daring	new	recipes.							The chef who the gourmet visit	Llama-2-7B	13.849635124206545	meta-llama/Llama-2-7b-hf	exp2
19	appos	plural	gram	e.appos.plural.gram	The	chefs,	who	the	gourmet	visits	regularly,	always	come	up	with	daring	new	recipes.							The chefs, who the gourmet visits	Llama-2-7B	13.83768717572093	meta-llama/Llama-2-7b-hf	exp2
19	appos	singular	gram	e.appos.singular.gram	The	chef,	who	the	gourmet	visits	regularly,	always	comes	up	with	daring	new	recipes.							The chef, who the gourmet visits	Llama-2-7B	14.575325090438128	meta-llama/Llama-2-7b-hf	exp2
19	appos	plural	ungram	e.appos.plural.ungram	The	chefs,	who	the	gourmet	visit	regularly,	always	come	up	with	daring	new	recipes.							The chefs, who the gourmet visit	Llama-2-7B	12.716482162475586	meta-llama/Llama-2-7b-hf	exp2
19	appos	singular	ungram	e.appos.singular.ungram	The	chef,	who	the	gourmet	visit	regularly,	always	comes	up	with	daring	new	recipes.							The chef, who the gourmet visit	Llama-2-7B	15.185410499572754	meta-llama/Llama-2-7b-hf	exp2
20	restr	plural	gram	e.restr.plural.gram	The	firefighters	who	the	ranger	keeps	on	hand	during	the	summer	months	have	special	training	in	forest	fires.			The firefighters who the ranger keeps	Llama-2-7B	11.9898042678833	meta-llama/Llama-2-7b-hf	exp2
20	restr	singular	gram	e.restr.singular.gram	The	firefighter	who	the	ranger	keeps	on	hand	during	the	summer	months	has	special	training	in	forest	fires.			The firefighter who the ranger keeps	Llama-2-7B	11.162281036376951	meta-llama/Llama-2-7b-hf	exp2
20	restr	plural	ungram	e.restr.plural.ungram	The	firefighters	who	the	ranger	keep	on	hand	during	the	summer	months	have	special	training	in	forest	fires.			The firefighters who the ranger keep	Llama-2-7B	13.93687915802002	meta-llama/Llama-2-7b-hf	exp2
20	restr	singular	ungram	e.restr.singular.ungram	The	firefighter	who	the	ranger	keep	on	hand	during	the	summer	months	has	special	training	in	forest	fires.			The firefighter who the ranger keep	Llama-2-7B	14.501330375671388	meta-llama/Llama-2-7b-hf	exp2
20	appos	plural	gram	e.appos.plural.gram	The	firefighters,	who	the	ranger	keeps	on	hand	during	the	summer	months,	have	special	training	in	forest	fires.			The firefighters, who the ranger keeps	Llama-2-7B	13.055399894714355	meta-llama/Llama-2-7b-hf	exp2
20	appos	singular	gram	e.appos.singular.gram	The	firefighter,	who	the	ranger	keeps	on	hand	during	the	summer	months,	has	special	training	in	forest	fires.			The firefighter, who the ranger keeps	Llama-2-7B	12.768118858337402	meta-llama/Llama-2-7b-hf	exp2
20	appos	plural	ungram	e.appos.plural.ungram	The	firefighters,	who	the	ranger	keep	on	hand	during	the	summer	months,	have	special	training	in	forest	fires.			The firefighters, who the ranger keep	Llama-2-7B	16.245107650756836	meta-llama/Llama-2-7b-hf	exp2
20	appos	singular	ungram	e.appos.singular.ungram	The	firefighter,	who	the	ranger	keep	on	hand	during	the	summer	months,	has	special	training	in	forest	fires.			The firefighter, who the ranger keep	Llama-2-7B	17.468149185180664	meta-llama/Llama-2-7b-hf	exp2
21	restr	plural	gram	e.restr.plural.gram	The	overseers	who	the	worker	distrusts	the	most	have	been	firing	anyone	who	mentions	unions.						The overseers who the worker distrusts	Llama-2-7B	14.995678424835203	meta-llama/Llama-2-7b-hf	exp2
21	restr	singular	gram	e.restr.singular.gram	The	overseer	who	the	worker	distrusts	the	most	has	been	firing	anyone	who	mentions	unions.						The overseer who the worker distrusts	Llama-2-7B	14.771631315350533	meta-llama/Llama-2-7b-hf	exp2
21	restr	plural	ungram	e.restr.plural.ungram	The	overseers	who	the	worker	distrust	the	most	have	been	firing	anyone	who	mentions	unions.						The overseers who the worker distrust	Llama-2-7B	14.425488471984863	meta-llama/Llama-2-7b-hf	exp2
21	restr	singular	ungram	e.restr.singular.ungram	The	overseer	who	the	worker	distrust	the	most	has	been	firing	anyone	who	mentions	unions.						The overseer who the worker distrust	Llama-2-7B	14.621949315071106	meta-llama/Llama-2-7b-hf	exp2
21	appos	plural	gram	e.appos.plural.gram	The	overseers,	who	the	worker	distrusts	the	most,	have	been	firing	anyone	who	mentions	unions.						The overseers, who the worker distrusts	Llama-2-7B	14.35765591263771	meta-llama/Llama-2-7b-hf	exp2
21	appos	singular	gram	e.appos.singular.gram	The	overseer,	who	the	worker	distrusts	the	most,	has	been	firing	anyone	who	mentions	unions.						The overseer, who the worker distrusts	Llama-2-7B	14.01951589435339	meta-llama/Llama-2-7b-hf	exp2
21	appos	plural	ungram	e.appos.plural.ungram	The	overseers,	who	the	worker	distrust	the	most,	have	been	firing	anyone	who	mentions	unions.						The overseers, who the worker distrust	Llama-2-7B	14.02997636795044	meta-llama/Llama-2-7b-hf	exp2
21	appos	singular	ungram	e.appos.singular.ungram	The	overseer,	who	the	worker	distrust	the	most,	has	been	firing	anyone	who	mentions	unions.						The overseer, who the worker distrust	Llama-2-7B	13.910386979579926	meta-llama/Llama-2-7b-hf	exp2
22	restr	plural	gram	e.restr.plural.gram	The	heiresses	who	the	bachelor	pursues	so	relentlessly	are	clever	and	won't	be	easily	fooled.						The heiresses who the bachelor pursues	Llama-2-7B	12.601646900177002	meta-llama/Llama-2-7b-hf	exp2
22	restr	singular	gram	e.restr.singular.gram	The	heiress	who	the	bachelor	pursues	so	relentlessly	is	clever	and	won't	be	easily	fooled.						The heiress who the bachelor pursues	Llama-2-7B	13.176894545555117	meta-llama/Llama-2-7b-hf	exp2
22	restr	plural	ungram	e.restr.plural.ungram	The	heiresses	who	the	bachelor	pursue	so	relentlessly	are	clever	and	won't	be	easily	fooled.						The heiresses who the bachelor pursue	Llama-2-7B	13.503331422805786	meta-llama/Llama-2-7b-hf	exp2
22	restr	singular	ungram	e.restr.singular.ungram	The	heiress	who	the	bachelor	pursue	so	relentlessly	is	clever	and	won't	be	easily	fooled.						The heiress who the bachelor pursue	Llama-2-7B	16.084826946258545	meta-llama/Llama-2-7b-hf	exp2
22	appos	plural	gram	e.appos.plural.gram	The	heiresses,	who	the	bachelor	pursues	so	relentlessly,	are	clever	and	won't	be	easily	fooled.						The heiresses, who the bachelor pursues	Llama-2-7B	12.400370359420776	meta-llama/Llama-2-7b-hf	exp2
22	appos	singular	gram	e.appos.singular.gram	The	heiress,	who	the	bachelor	pursues	so	relentlessly,	is	clever	and	won't	be	easily	fooled.						The heiress, who the bachelor pursues	Llama-2-7B	15.458078384399414	meta-llama/Llama-2-7b-hf	exp2
22	appos	plural	ungram	e.appos.plural.ungram	The	heiresses,	who	the	bachelor	pursue	so	relentlessly,	are	clever	and	won't	be	easily	fooled.						The heiresses, who the bachelor pursue	Llama-2-7B	15.330844402313232	meta-llama/Llama-2-7b-hf	exp2
22	appos	singular	ungram	e.appos.singular.ungram	The	heiress,	who	the	bachelor	pursue	so	relentlessly,	is	clever	and	won't	be	easily	fooled.						The heiress, who the bachelor pursue	Llama-2-7B	19.80870532989502	meta-llama/Llama-2-7b-hf	exp2
23	restr	plural	gram	e.restr.plural.gram	The	actors	who	the	producer	considers	the	safest	bet	are	the	ones	who	have	been	around	for	a	while.		The actors who the producer considers	Llama-2-7B	8.577011246234179	meta-llama/Llama-2-7b-hf	exp2
23	restr	singular	gram	e.restr.singular.gram	The	actor	who	the	producer	considers	the	safest	bet	is	the	one	who	has	been	around	for	a	while.		The actor who the producer considers	Llama-2-7B	10.018679905682802	meta-llama/Llama-2-7b-hf	exp2
23	restr	plural	ungram	e.restr.plural.ungram	The	actors	who	the	producer	consider	the	safest	bet	are	the	ones	who	have	been	around	for	a	while.		The actors who the producer consider	Llama-2-7B	11.242691040039062	meta-llama/Llama-2-7b-hf	exp2
23	restr	singular	ungram	e.restr.singular.ungram	The	actor	who	the	producer	consider	the	safest	bet	is	the	one	who	has	been	around	for	a	while.		The actor who the producer consider	Llama-2-7B	14.09421443939209	meta-llama/Llama-2-7b-hf	exp2
23	appos	plural	gram	e.appos.plural.gram	The	actors,	who	the	producer	considers	the	safest	bet,	are	the	ones	who	have	been	around	for	a	while.		The actors, who the producer considers	Llama-2-7B	8.045162085443735	meta-llama/Llama-2-7b-hf	exp2
23	appos	singular	gram	e.appos.singular.gram	The	actor,	who	the	producer	considers	the	safest	bet,	is	the	one	who	has	been	around	for	a	while.		The actor, who the producer considers	Llama-2-7B	8.838304152479395	meta-llama/Llama-2-7b-hf	exp2
23	appos	plural	ungram	e.appos.plural.ungram	The	actors,	who	the	producer	consider	the	safest	bet,	are	the	ones	who	have	been	around	for	a	while.		The actors, who the producer consider	Llama-2-7B	12.900052070617676	meta-llama/Llama-2-7b-hf	exp2
23	appos	singular	ungram	e.appos.singular.ungram	The	actor,	who	the	producer	consider	the	safest	bet,	is	the	one	who	has	been	around	for	a	while.		The actor, who the producer consider	Llama-2-7B	14.929423332214355	meta-llama/Llama-2-7b-hf	exp2
24	restr	plural	gram	e.restr.plural.gram	The	accountants	who	the	administrator	depends	on	to	balance	the	books	are	very	well	paid.						The accountants who the administrator depends	Llama-2-7B	11.571470260620115	meta-llama/Llama-2-7b-hf	exp2
24	restr	singular	gram	e.restr.singular.gram	The	accountant	who	the	administrator	depends	on	to	balance	the	books	is	very	well	paid.						The accountant who the administrator depends	Llama-2-7B	10.629640579223633	meta-llama/Llama-2-7b-hf	exp2
24	restr	plural	ungram	e.restr.plural.ungram	The	accountants	who	the	administrator	depend	on	to	balance	the	books	are	very	well	paid.						The accountants who the administrator depend	Llama-2-7B	14.741454124450684	meta-llama/Llama-2-7b-hf	exp2
24	restr	singular	ungram	e.restr.singular.ungram	The	accountant	who	the	administrator	depend	on	to	balance	the	books	is	very	well	paid.						The accountant who the administrator depend	Llama-2-7B	15.708660125732422	meta-llama/Llama-2-7b-hf	exp2
24	appos	plural	gram	e.appos.plural.gram	The	accountants,	who	the	administrator	depends	on	to	balance	the	books,	are	very	well	paid.						The accountants, who the administrator depends	Llama-2-7B	13.293691635131836	meta-llama/Llama-2-7b-hf	exp2
24	appos	singular	gram	e.appos.singular.gram	The	accountant,	who	the	administrator	depends	on	to	balance	the	books,	is	very	well	paid.						The accountant, who the administrator depends	Llama-2-7B	12.902496337890623	meta-llama/Llama-2-7b-hf	exp2
24	appos	plural	ungram	e.appos.plural.ungram	The	accountants,	who	the	administrator	depend	on	to	balance	the	books,	are	very	well	paid.						The accountants, who the administrator depend	Llama-2-7B	16.58624839782715	meta-llama/Llama-2-7b-hf	exp2
24	appos	singular	ungram	e.appos.singular.ungram	The	accountant,	who	the	administrator	depend	on	to	balance	the	books,	is	very	well	paid.						The accountant, who the administrator depend	Llama-2-7B	17.779693603515625	meta-llama/Llama-2-7b-hf	exp2
25	restr	plural	gram	e.restr.plural.gram	The	orphans	who	the	nun	tutors	in	algebra	lost	their	parents	in	the	ongoing	civil	"war.	"					The orphans who the nun tutors	Llama-2-7B	15.177025106735528	meta-llama/Llama-2-7b-hf	exp2
25	restr	singular	gram	e.restr.singular.gram	The	orphan	who	the	nun	tutors	in	algebra	lost	his	parents	in	the	ongoing	civil	"war.	"					The orphan who the nun tutors	Llama-2-7B	15.763565564528108	meta-llama/Llama-2-7b-hf	exp2
25	restr	plural	ungram	e.restr.plural.ungram	The	orphans	who	the	nun	tutor	in	algebra	lost	their	parents	in	the	ongoing	civil	"war.	"					The orphans who the nun tutor	Llama-2-7B	14.062099933624268	meta-llama/Llama-2-7b-hf	exp2
25	restr	singular	ungram	e.restr.singular.ungram	The	orphan	who	the	nun	tutor	in	algebra	lost	his	parents	in	the	ongoing	civil	"war.	"					The orphan who the nun tutor	Llama-2-7B	13.682252407073976	meta-llama/Llama-2-7b-hf	exp2
25	appos	plural	gram	e.appos.plural.gram	The	orphans,	who	the	nun	tutors	in	algebra,	lost	their	parents	in	the	ongoing	civil	"war.	"					The orphans, who the nun tutors	Llama-2-7B	15.874156477861106	meta-llama/Llama-2-7b-hf	exp2
25	appos	singular	gram	e.appos.singular.gram	The	orphan,	who	the	nun	tutors	in	algebra,	lost	his	parents	in	the	ongoing	civil	"war.	"					The orphan, who the nun tutors	Llama-2-7B	16.32388124987483	meta-llama/Llama-2-7b-hf	exp2
25	appos	plural	ungram	e.appos.plural.ungram	The	orphans,	who	the	nun	tutor	in	algebra,	lost	their	parents	in	the	ongoing	civil	"war.	"					The orphans, who the nun tutor	Llama-2-7B	15.705047130584717	meta-llama/Llama-2-7b-hf	exp2
25	appos	singular	ungram	e.appos.singular.ungram	The	orphan,	who	the	nun	tutor	in	algebra,	lost	his	parents	in	the	ongoing	civil	"war.	"					The orphan, who the nun tutor	Llama-2-7B	15.997686862945557	meta-llama/Llama-2-7b-hf	exp2
26	restr	plural	gram	e.restr.plural.gram	The	translators	who	the	diplomat	needs	for	communication	were	trying	furiously	to	facilitate	peace	talks.						The translators who the diplomat needs	Llama-2-7B	9.76478099822998	meta-llama/Llama-2-7b-hf	exp2
26	restr	singular	gram	e.restr.singular.gram	The	translator	who	the	diplomat	needs	for	communication	was	trying	furiously	to	facilitate	peace	talks.						The translator who the diplomat needs	Llama-2-7B	8.740888595581055	meta-llama/Llama-2-7b-hf	exp2
26	restr	plural	ungram	e.restr.plural.ungram	The	translators	who	the	diplomat	need	for	communication	were	trying	furiously	to	facilitate	peace	talks.						The translators who the diplomat need	Llama-2-7B	13.365882873535156	meta-llama/Llama-2-7b-hf	exp2
26	restr	singular	ungram	e.restr.singular.ungram	The	translator	who	the	diplomat	need	for	communication	was	trying	furiously	to	facilitate	peace	talks.						The translator who the diplomat need	Llama-2-7B	13.356386184692385	meta-llama/Llama-2-7b-hf	exp2
26	appos	plural	gram	e.appos.plural.gram	The	translators,	who	the	diplomat	needs	for	communication,	were	trying	furiously	to	facilitate	peace	talks.						The translators, who the diplomat needs	Llama-2-7B	12.070124626159668	meta-llama/Llama-2-7b-hf	exp2
26	appos	singular	gram	e.appos.singular.gram	The	translator,	who	the	diplomat	needs	for	communication,	was	trying	furiously	to	facilitate	peace	talks.						The translator, who the diplomat needs	Llama-2-7B	11.327900886535645	meta-llama/Llama-2-7b-hf	exp2
26	appos	plural	ungram	e.appos.plural.ungram	The	translators,	who	the	diplomat	need	for	communication,	were	trying	furiously	to	facilitate	peace	talks.						The translators, who the diplomat need	Llama-2-7B	14.67796516418457	meta-llama/Llama-2-7b-hf	exp2
26	appos	singular	ungram	e.appos.singular.ungram	The	translator,	who	the	diplomat	need	for	communication,	was	trying	furiously	to	facilitate	peace	talks.						The translator, who the diplomat need	Llama-2-7B	14.266828536987305	meta-llama/Llama-2-7b-hf	exp2
27	restr	plural	gram	e.restr.plural.gram	The	dancers	who	the	host	applauds	so	frequently	have	been	performing	since	they	were	young	girls	in	Ecuador.			The dancers who the host applauds	Llama-2-7B	14.0778274461627	meta-llama/Llama-2-7b-hf	exp2
27	restr	singular	gram	e.restr.singular.gram	The	dancer	who	the	host	applauds	so	frequently	has	been	performing	since	she	was	a	young	girl	in	Ecuador.		The dancer who the host applauds	Llama-2-7B	15.12009203620255	meta-llama/Llama-2-7b-hf	exp2
27	restr	plural	ungram	e.restr.plural.ungram	The	dancers	who	the	host	applaud	so	frequently	have	been	performing	since	they	were	young	girls	in	Ecuador.			The dancers who the host applaud	Llama-2-7B	12.934155575931072	meta-llama/Llama-2-7b-hf	exp2
27	restr	singular	ungram	e.restr.singular.ungram	The	dancer	who	the	host	applaud	so	frequently	has	been	performing	since	she	was	a	young	girl	in	Ecuador.		The dancer who the host applaud	Llama-2-7B	13.683070899918675	meta-llama/Llama-2-7b-hf	exp2
27	appos	plural	gram	e.appos.plural.gram	The	dancers,	who	the	host	applauds	so	frequently,	have	been	performing	since	they	were	young	girls	in	Ecuador.			The dancers, who the host applauds	Llama-2-7B	13.768436542712152	meta-llama/Llama-2-7b-hf	exp2
27	appos	singular	gram	e.appos.singular.gram	The	dancer,	who	the	host	applauds	so	frequently,	has	been	performing	since	she	was	a	young	girl	in	Ecuador.		The dancer, who the host applauds	Llama-2-7B	15.051553493831308	meta-llama/Llama-2-7b-hf	exp2
27	appos	plural	ungram	e.appos.plural.ungram	The	dancers,	who	the	host	applaud	so	frequently,	have	been	performing	since	they	were	young	girls	in	Ecuador.			The dancers, who the host applaud	Llama-2-7B	12.036107412539424	meta-llama/Llama-2-7b-hf	exp2
27	appos	singular	ungram	e.appos.singular.ungram	The	dancer,	who	the	host	applaud	so	frequently,	has	been	performing	since	she	was	a	young	girl	in	Ecuador.		The dancer, who the host applaud	Llama-2-7B	12.172192102763802	meta-llama/Llama-2-7b-hf	exp2
28	restr	plural	gram	e.restr.plural.gram	The	supervisors	who	the	counselor	reports	to	directly	are	supposed	to	provide	advice	and	support.						The supervisors who the counselor reports	Llama-2-7B	3.6779448986053462	meta-llama/Llama-2-7b-hf	exp2
28	restr	singular	gram	e.restr.singular.gram	The	supervisor	who	the	counselor	reports	to	directly	is	supposed	to	provide	advice	and	support.						The supervisor who the counselor reports	Llama-2-7B	3.022892475128174	meta-llama/Llama-2-7b-hf	exp2
28	restr	plural	ungram	e.restr.plural.ungram	The	supervisors	who	the	counselor	report	to	directly	are	supposed	to	provide	advice	and	support.						The supervisors who the counselor report	Llama-2-7B	7.431206703186035	meta-llama/Llama-2-7b-hf	exp2
28	restr	singular	ungram	e.restr.singular.ungram	The	supervisor	who	the	counselor	report	to	directly	is	supposed	to	provide	advice	and	support.						The supervisor who the counselor report	Llama-2-7B	9.086719512939451	meta-llama/Llama-2-7b-hf	exp2
28	appos	plural	gram	e.appos.plural.gram	The	supervisors,	who	the	counselor	reports	to	directly,	are	supposed	to	provide	advice	and	support.						The supervisors, who the counselor reports	Llama-2-7B	3.3397293090820312	meta-llama/Llama-2-7b-hf	exp2
28	appos	singular	gram	e.appos.singular.gram	The	supervisor,	who	the	counselor	reports	to	directly,	is	supposed	to	provide	advice	and	support.						The supervisor, who the counselor reports	Llama-2-7B	3.702122211456299	meta-llama/Llama-2-7b-hf	exp2
28	appos	plural	ungram	e.appos.plural.ungram	The	supervisors,	who	the	counselor	report	to	directly,	are	supposed	to	provide	advice	and	support.						The supervisors, who the counselor report	Llama-2-7B	8.298994064331055	meta-llama/Llama-2-7b-hf	exp2
28	appos	singular	ungram	e.appos.singular.ungram	The	supervisor,	who	the	counselor	report	to	directly,	is	supposed	to	provide	advice	and	support.						The supervisor, who the counselor report	Llama-2-7B	9.97446346282959	meta-llama/Llama-2-7b-hf	exp2
29	restr	plural	gram	e.restr.plural.gram	The	commentators	who	the	viewer	trusts	the	most	has	a	very	slick	hairstyle.								The commentators who the viewer trusts	Llama-2-7B	5.464616268873215	meta-llama/Llama-2-7b-hf	exp2
29	restr	singular	gram	e.restr.singular.gram	The	commentator	who	the	viewer	trusts	the	most	has	a	very	slick	hairstyle.								The commentator who the viewer trusts	Llama-2-7B	6.445372261106968	meta-llama/Llama-2-7b-hf	exp2
29	restr	plural	ungram	e.restr.plural.ungram	The	commentators	who	the	viewer	trust	the	most	has	a	very	slick	hairstyle.								The commentators who the viewer trust	Llama-2-7B	5.225086212158203	meta-llama/Llama-2-7b-hf	exp2
29	restr	singular	ungram	e.restr.singular.ungram	The	commentator	who	the	viewer	trust	the	most	has	a	very	slick	hairstyle.								The commentator who the viewer trust	Llama-2-7B	6.36198091506958	meta-llama/Llama-2-7b-hf	exp2
29	appos	plural	gram	e.appos.plural.gram	The	commentators,	who	the	viewer	trusts	the	most,	has	a	very	slick	hairstyle.								The commentators, who the viewer trusts	Llama-2-7B	6.3521299958229065	meta-llama/Llama-2-7b-hf	exp2
29	appos	singular	gram	e.appos.singular.gram	The	commentator,	who	the	viewer	trusts	the	most,	has	a	very	slick	hairstyle.								The commentator, who the viewer trusts	Llama-2-7B	7.627265118062496	meta-llama/Llama-2-7b-hf	exp2
29	appos	plural	ungram	e.appos.plural.ungram	The	commentators,	who	the	viewer	trust	the	most,	has	a	very	slick	hairstyle.								The commentators, who the viewer trust	Llama-2-7B	6.196414470672607	meta-llama/Llama-2-7b-hf	exp2
29	appos	singular	ungram	e.appos.singular.ungram	The	commentator,	who	the	viewer	trust	the	most,	has	a	very	slick	hairstyle.								The commentator, who the viewer trust	Llama-2-7B	7.521380424499512	meta-llama/Llama-2-7b-hf	exp2
30	restr	plural	gram	e.restr.plural.gram	The	journalists	who	the	editor	appreciates	the	most	always	turn	their	stories	in	promptly.							The journalists who the editor appreciates	Llama-2-7B	13.74817581102252	meta-llama/Llama-2-7b-hf	exp2
30	restr	singular	gram	e.restr.singular.gram	The	journalist	who	the	editor	appreciates	the	most	always	turns	her	stories	in	promptly.							The journalist who the editor appreciates	Llama-2-7B	13.628480630461128	meta-llama/Llama-2-7b-hf	exp2
30	restr	plural	ungram	e.restr.plural.ungram	The	journalists	who	the	editor	appreciate	the	most	always	turn	their	stories	in	promptly.							The journalists who the editor appreciate	Llama-2-7B	18.768972396850582	meta-llama/Llama-2-7b-hf	exp2
30	restr	singular	ungram	e.restr.singular.ungram	The	journalist	who	the	editor	appreciate	the	most	always	turns	her	stories	in	promptly.							The journalist who the editor appreciate	Llama-2-7B	19.312931060791016	meta-llama/Llama-2-7b-hf	exp2
30	appos	plural	gram	e.appos.plural.gram	The	journalists,	who	the	editor	appreciates	the	most,	always	turn	their	stories	in	promptly.							The journalists, who the editor appreciates	Llama-2-7B	15.986282266676426	meta-llama/Llama-2-7b-hf	exp2
30	appos	singular	gram	e.appos.singular.gram	The	journalist,	who	the	editor	appreciates	the	most,	always	turns	her	stories	in	promptly.							The journalist, who the editor appreciates	Llama-2-7B	15.196332726627588	meta-llama/Llama-2-7b-hf	exp2
30	appos	plural	ungram	e.appos.plural.ungram	The	journalists,	who	the	editor	appreciate	the	most,	always	turn	their	stories	in	promptly.							The journalists, who the editor appreciate	Llama-2-7B	20.86470603942871	meta-llama/Llama-2-7b-hf	exp2
30	appos	singular	ungram	e.appos.singular.ungram	The	journalist,	who	the	editor	appreciate	the	most,	always	turns	her	stories	in	promptly.							The journalist, who the editor appreciate	Llama-2-7B	21.473670959472656	meta-llama/Llama-2-7b-hf	exp2
31	restr	plural	gram	e.restr.plural.gram	The	customers	who	the	waitress	hates	the	most	are	the	ones	who	complain	about	everything	and	leave	a	lousy	tip.	The customers who the waitress hates	Llama-2-7B	12.614468097686768	meta-llama/Llama-2-7b-hf	exp2
31	restr	singular	gram	e.restr.singular.gram	The	customer	who	the	waitress	hates	the	most	is	the	one	who	complains	about	everything	and	leaves	a	lousy	tip.	The customer who the waitress hates	Llama-2-7B	11.276901483535768	meta-llama/Llama-2-7b-hf	exp2
31	restr	plural	ungram	e.restr.plural.ungram	The	customers	who	the	waitress	hate	the	most	are	the	ones	who	complain	about	everything	and	leave	a	lousy	tip.	The customers who the waitress hate	Llama-2-7B	16.73947525024414	meta-llama/Llama-2-7b-hf	exp2
31	restr	singular	ungram	e.restr.singular.ungram	The	customer	who	the	waitress	hate	the	most	is	the	one	who	complains	about	everything	and	leaves	a	lousy	tip.	The customer who the waitress hate	Llama-2-7B	17.320714950561523	meta-llama/Llama-2-7b-hf	exp2
31	appos	plural	gram	e.appos.plural.gram	The	customers,	who	the	waitress	hates	the	most,	are	the	ones	who	complain	about	everything	and	leave	a	lousy	tip.	The customers, who the waitress hates	Llama-2-7B	12.293381333351135	meta-llama/Llama-2-7b-hf	exp2
31	appos	singular	gram	e.appos.singular.gram	The	customer,	who	the	waitress	hates	the	most,	is	the	one	who	complains	about	everything	and	leaves	a	lousy	tip.	The customer, who the waitress hates	Llama-2-7B	12.634483575820925	meta-llama/Llama-2-7b-hf	exp2
31	appos	plural	ungram	e.appos.plural.ungram	The	customers,	who	the	waitress	hate	the	most,	are	the	ones	who	complain	about	everything	and	leave	a	lousy	tip.	The customers, who the waitress hate	Llama-2-7B	16.429704666137695	meta-llama/Llama-2-7b-hf	exp2
31	appos	singular	ungram	e.appos.singular.ungram	The	customer,	who	the	waitress	hate	the	most,	is	the	one	who	complains	about	everything	and	leaves	a	lousy	tip.	The customer, who the waitress hate	Llama-2-7B	18.30040168762207	meta-llama/Llama-2-7b-hf	exp2
32	restr	plural	gram	e.restr.plural.gram	The	therapists	who	the	survivor	meets	with	weekly	are	trying	to	help	her	recover	from	her	awful	ordeal.			The therapists who the survivor meets	Llama-2-7B	4.904503345489502	meta-llama/Llama-2-7b-hf	exp2
32	restr	singular	gram	e.restr.singular.gram	The	therapist	who	the	survivor	meets	with	weekly	is	trying	to	help	her	recover	from	her	awful	ordeal.			The therapist who the survivor meets	Llama-2-7B	5.453073978424072	meta-llama/Llama-2-7b-hf	exp2
32	restr	plural	ungram	e.restr.plural.ungram	The	therapists	who	the	survivor	meet	with	weekly	are	trying	to	help	her	recover	from	her	awful	ordeal.			The therapists who the survivor meet	Llama-2-7B	6.8769378662109375	meta-llama/Llama-2-7b-hf	exp2
32	restr	singular	ungram	e.restr.singular.ungram	The	therapist	who	the	survivor	meet	with	weekly	is	trying	to	help	her	recover	from	her	awful	ordeal.			The therapist who the survivor meet	Llama-2-7B	10.175646781921388	meta-llama/Llama-2-7b-hf	exp2
