ItemNo,Clause,Distractor,Grammaticality,Condition,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
24,appos,plural,ungram,e.appos.plural.ungram,The,"accountants,",who,the,administrator,depend,on,to,balance,the,"books,",are,very,well,paid.,,,,,
24,appos,singular,ungram,e.appos.singular.ungram,The,"accountant,",who,the,administrator,depend,on,to,balance,the,"books,",is,very,well,paid.,,,,,
25,restr,plural,gram,e.restr.plural.gram,The,orphans,who,the,nun,tutors,in,algebra,lost,their,parents,in,the,ongoing,civil,"war.	",,,,
25,restr,singular,gram,e.restr.singular.gram,The,orphan,who,the,nun,tutors,in,algebra,lost,his,parents,in,the,ongoing,civil,"war.	",,,,
25,restr,plural,ungram,e.restr.plural.ungram,The,orphans,who,the,nun,tutor,in,algebra,lost,their,parents,in,the,ongoing,civil,"war.	",,,,
25,restr,singular,ungram,e.restr.singular.ungram,The,orphan,who,the,nun,tutor,in,algebra,lost,his,parents,in,the,ongoing,civil,"war.	",,,,
25,appos,plural,gram,e.appos.plural.gram,The,"orphans,",who,the,nun,tutors,in,"algebra,",lost,their,parents,in,the,ongoing,civil,"war.	",,,,
25,appos,singular,gram,e.appos.singular.gram,The,"orphan,",who,the,nun,tutors,in,"algebra,",lost,his,parents,in,the,ongoing,civil,"war.	",,,,
25,appos,plural,ungram,e.appos.plural.ungram,The,"orphans,",who,the,nun,tutor,in,"algebra,",lost,their,parents,in,the,ongoing,civil,"war.	",,,,
25,appos,singular,ungram,e.appos.singular.ungram,The,"orphan,",who,the,nun,tutor,in,"algebra,",lost,his,parents,in,the,ongoing,civil,"war.	",,,,
26,restr,plural,gram,e.restr.plural.gram,The,translators,who,the,diplomat,needs,for,communication,were,trying,furiously,to,facilitate,peace,talks.,,,,,
26,restr,singular,gram,e.restr.singular.gram,The,translator,who,the,diplomat,needs,for,communication,was,trying,furiously,to,facilitate,peace,talks.,,,,,
26,restr,plural,ungram,e.restr.plural.ungram,The,translators,who,the,diplomat,need,for,communication,were,trying,furiously,to,facilitate,peace,talks.,,,,,
26,restr,singular,ungram,e.restr.singular.ungram,The,translator,who,the,diplomat,need,for,communication,was,trying,furiously,to,facilitate,peace,talks.,,,,,
26,appos,plural,gram,e.appos.plural.gram,The,"translators,",who,the,diplomat,needs,for,"communication,",were,trying,furiously,to,facilitate,peace,talks.,,,,,
26,appos,singular,gram,e.appos.singular.gram,The,"translator,",who,the,diplomat,needs,for,"communication,",was,trying,furiously,to,facilitate,peace,talks.,,,,,
26,appos,plural,ungram,e.appos.plural.ungram,The,"translators,",who,the,diplomat,need,for,"communication,",were,trying,furiously,to,facilitate,peace,talks.,,,,,
26,appos,singular,ungram,e.appos.singular.ungram,The,"translator,",who,the,diplomat,need,for,"communication,",was,trying,furiously,to,facilitate,peace,talks.,,,,,
27,restr,plural,gram,e.restr.plural.gram,The,dancers,who,the,host,applauds,so,frequently,have,been,performing,since,they,were,young,girls,in,Ecuador.,,
27,restr,singular,gram,e.restr.singular.gram,The,dancer,who,the,host,applauds,so,frequently,has,been,performing,since,she,was,a,young,girl,in,Ecuador.,
27,restr,plural,ungram,e.restr.plural.ungram,The,dancers,who,the,host,applaud,so,frequently,have,been,performing,since,they,were,young,girls,in,Ecuador.,,
27,restr,singular,ungram,e.restr.singular.ungram,The,dancer,who,the,host,applaud,so,frequently,has,been,performing,since,she,was,a,young,girl,in,Ecuador.,
27,appos,plural,gram,e.appos.plural.gram,The,"dancers,",who,the,host,applauds,so,"frequently,",have,been,performing,since,they,were,young,girls,in,Ecuador.,,
27,appos,singular,gram,e.appos.singular.gram,The,"dancer,",who,the,host,applauds,so,"frequently,",has,been,performing,since,she,was,a,young,girl,in,Ecuador.,
27,appos,plural,ungram,e.appos.plural.ungram,The,"dancers,",who,the,host,applaud,so,"frequently,",have,been,performing,since,they,were,young,girls,in,Ecuador.,,
27,appos,singular,ungram,e.appos.singular.ungram,The,"dancer,",who,the,host,applaud,so,"frequently,",has,been,performing,since,she,was,a,young,girl,in,Ecuador.,
28,restr,plural,gram,e.restr.plural.gram,The,supervisors,who,the,counselor,reports,to,directly,are,supposed,to,provide,advice,and,support.,,,,,
28,restr,singular,gram,e.restr.singular.gram,The,supervisor,who,the,counselor,reports,to,directly,is,supposed,to,provide,advice,and,support.,,,,,
28,restr,plural,ungram,e.restr.plural.ungram,The,supervisors,who,the,counselor,report,to,directly,are,supposed,to,provide,advice,and,support.,,,,,
28,restr,singular,ungram,e.restr.singular.ungram,The,supervisor,who,the,counselor,report,to,directly,is,supposed,to,provide,advice,and,support.,,,,,
28,appos,plural,gram,e.appos.plural.gram,The,"supervisors,",who,the,counselor,reports,to,"directly,",are,supposed,to,provide,advice,and,support.,,,,,
28,appos,singular,gram,e.appos.singular.gram,The,"supervisor,",who,the,counselor,reports,to,"directly,",is,supposed,to,provide,advice,and,support.,,,,,
28,appos,plural,ungram,e.appos.plural.ungram,The,"supervisors,",who,the,counselor,report,to,"directly,",are,supposed,to,provide,advice,and,support.,,,,,
28,appos,singular,ungram,e.appos.singular.ungram,The,"supervisor,",who,the,counselor,report,to,"directly,",is,supposed,to,provide,advice,and,support.,,,,,
29,restr,plural,gram,e.restr.plural.gram,The,commentators,who,the,viewer,trusts,the,most,has,a,very,slick,hairstyle.,,,,,,,
29,restr,singular,gram,e.restr.singular.gram,The,commentator,who,the,viewer,trusts,the,most,has,a,very,slick,hairstyle.,,,,,,,
29,restr,plural,ungram,e.restr.plural.ungram,The,commentators,who,the,viewer,trust,the,most,has,a,very,slick,hairstyle.,,,,,,,
29,restr,singular,ungram,e.restr.singular.ungram,The,commentator,who,the,viewer,trust,the,most,has,a,very,slick,hairstyle.,,,,,,,
29,appos,plural,gram,e.appos.plural.gram,The,"commentators,",who,the,viewer,trusts,the,"most,",has,a,very,slick,hairstyle.,,,,,,,
29,appos,singular,gram,e.appos.singular.gram,The,"commentator,",who,the,viewer,trusts,the,"most,",has,a,very,slick,hairstyle.,,,,,,,
29,appos,plural,ungram,e.appos.plural.ungram,The,"commentators,",who,the,viewer,trust,the,"most,",has,a,very,slick,hairstyle.,,,,,,,
29,appos,singular,ungram,e.appos.singular.ungram,The,"commentator,",who,the,viewer,trust,the,"most,",has,a,very,slick,hairstyle.,,,,,,,
30,restr,plural,gram,e.restr.plural.gram,The,journalists,who,the,editor,appreciates,the,most,always,turn,their,stories,in,promptly.,,,,,,
30,restr,singular,gram,e.restr.singular.gram,The,journalist,who,the,editor,appreciates,the,most,always,turns,her,stories,in,promptly.,,,,,,
30,restr,plural,ungram,e.restr.plural.ungram,The,journalists,who,the,editor,appreciate,the,most,always,turn,their,stories,in,promptly.,,,,,,
30,restr,singular,ungram,e.restr.singular.ungram,The,journalist,who,the,editor,appreciate,the,most,always,turns,her,stories,in,promptly.,,,,,,
30,appos,plural,gram,e.appos.plural.gram,The,"journalists,",who,the,editor,appreciates,the,"most,",always,turn,their,stories,in,promptly.,,,,,,
30,appos,singular,gram,e.appos.singular.gram,The,"journalist,",who,the,editor,appreciates,the,"most,",always,turns,her,stories,in,promptly.,,,,,,
30,appos,plural,ungram,e.appos.plural.ungram,The,"journalists,",who,the,editor,appreciate,the,"most,",always,turn,their,stories,in,promptly.,,,,,,
30,appos,singular,ungram,e.appos.singular.ungram,The,"journalist,",who,the,editor,appreciate,the,"most,",always,turns,her,stories,in,promptly.,,,,,,
31,restr,plural,gram,e.restr.plural.gram,The,customers,who,the,waitress,hates,the,most,are,the,ones,who,complain,about,everything,and,leave,a,lousy,tip.
31,restr,singular,gram,e.restr.singular.gram,The,customer,who,the,waitress,hates,the,most,is,the,one,who,complains,about,everything,and,leaves,a,lousy,tip.
31,restr,plural,ungram,e.restr.plural.ungram,The,customers,who,the,waitress,hate,the,most,are,the,ones,who,complain,about,everything,and,leave,a,lousy,tip.
31,restr,singular,ungram,e.restr.singular.ungram,The,customer,who,the,waitress,hate,the,most,is,the,one,who,complains,about,everything,and,leaves,a,lousy,tip.
31,appos,plural,gram,e.appos.plural.gram,The,"customers,",who,the,waitress,hates,the,"most,",are,the,ones,who,complain,about,everything,and,leave,a,lousy,tip.
31,appos,singular,gram,e.appos.singular.gram,The,"customer,",who,the,waitress,hates,the,"most,",is,the,one,who,complains,about,everything,and,leaves,a,lousy,tip.
31,appos,plural,ungram,e.appos.plural.ungram,The,"customers,",who,the,waitress,hate,the,"most,",are,the,ones,who,complain,about,everything,and,leave,a,lousy,tip.
31,appos,singular,ungram,e.appos.singular.ungram,The,"customer,",who,the,waitress,hate,the,"most,",is,the,one,who,complains,about,everything,and,leaves,a,lousy,tip.
32,restr,plural,gram,e.restr.plural.gram,The,therapists,who,the,survivor,meets,with,weekly,are,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,restr,singular,gram,e.restr.singular.gram,The,therapist,who,the,survivor,meets,with,weekly,is,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,restr,plural,ungram,e.restr.plural.ungram,The,therapists,who,the,survivor,meet,with,weekly,are,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,restr,singular,ungram,e.restr.singular.ungram,The,therapist,who,the,survivor,meet,with,weekly,is,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,appos,plural,gram,e.appos.plural.gram,The,"therapists,",who,the,survivor,meets,with,"weekly,",are,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,appos,singular,gram,e.appos.singular.gram,The,"therapist,",who,the,survivor,meets,with,"weekly,",is,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,appos,plural,ungram,e.appos.plural.ungram,The,"therapists,",who,the,survivor,meet,with,"weekly,",are,trying,to,help,her,recover,from,her,awful,ordeal.,,
32,appos,singular,ungram,e.appos.singular.ungram,The,"therapist,",who,the,survivor,meet,with,"weekly,",is,trying,to,help,her,recover,from,her,awful,ordeal.,,
33,restr,plural,gram,e.restr.plural.gram,The,cheerleaders,who,the,choreographer,works,with,usually,train,all,year,for,the,national,competition.,,,,,
33,restr,singular,gram,e.restr.singular.gram,The,cheerleader,who,the,choreographer,works,with,usually,trains,all,year,for,the,national,competition.,,,,,
33,restr,plural,ungram,e.restr.plural.ungram,The,cheerleaders,who,the,choreographer,work,with,usually,train,all,year,for,the,national,competition.,,,,,
33,restr,singular,ungram,e.restr.singular.ungram,The,cheerleader,who,the,choreographer,work,with,usually,trains,all,year,training,for,the,national,competition.,,,,
33,appos,plural,gram,e.appos.plural.gram,The,"cheerleaders,",who,the,choreographer,works,"with,",usually,train,all,year,for,the,national,competition.,,,,,
33,appos,singular,gram,e.appos.singular.gram,The,"cheerleader,",who,the,choreographer,works,"with,",usually,trains,all,year,for,the,national,competition.,,,,,
33,appos,plural,ungram,e.appos.plural.ungram,The,"cheerleaders,",who,the,choreographer,work,"with,",usually,train,all,year,for,the,national,competition.,,,,,
33,appos,singular,ungram,e.appos.singular.ungram,The,"cheerleader,",who,the,choreographer,work,"with,",usually,trains,all,year,training,for,the,national,competition.,,,,
34,restr,plural,gram,e.restr.plural.gram,The,cowboys,who,the,rancher,knows,the,best,have,thirty,years,of,experience,on,the,range.,,,,
34,restr,singular,gram,e.restr.singular.gram,The,cowboy,who,the,rancher,knows,the,best,has,thirty,years,of,experience,on,the,range.,,,,
34,restr,plural,ungram,e.restr.plural.ungram,The,cowboys,who,the,rancher,know,the,best,have,thirty,years,of,experience,on,the,range.,,,,
34,restr,singular,ungram,e.restr.singular.ungram,The,cowboy,who,the,rancher,know,the,best,has,thirty,years,of,experience,on,the,range.,,,,
34,appos,plural,gram,e.appos.plural.gram,The,"cowboys,",who,the,rancher,knows,the,"best,",have,thirty,years,of,experience,on,the,range.,,,,
34,appos,singular,gram,e.appos.singular.gram,The,"cowboy,",who,the,rancher,knows,the,"best,",has,thirty,years,of,experience,on,the,range.,,,,
34,appos,plural,ungram,e.appos.plural.ungram,The,"cowboys,",who,the,rancher,know,the,"best,",have,thirty,years,of,experience,on,the,range.,,,,
34,appos,singular,ungram,e.appos.singular.ungram,The,"cowboy,",who,the,rancher,know,the,"best,",has,thirty,years,of,experience,on,the,range.,,,,
35,restr,plural,gram,e.restr.plural.gram,The,surgeons,who,the,nurse,prefers,most,to,assist,have,impeccable,records,in,the,operating,room.,,,,
35,restr,singular,gram,e.restr.singular.gram,The,surgeon,who,the,nurse,prefers,most,to,assist,has,an,impeccable,record,in,the,operating,room.,,,
35,restr,plural,ungram,e.restr.plural.ungram,The,surgeons,who,the,nurse,prefer,most,to,assist,have,impeccable,records,in,the,operating,room.,,,,
35,restr,singular,ungram,e.restr.singular.ungram,The,surgeon,who,the,nurse,prefer,most,to,assist,has,an,impeccable,record,in,the,operating,room.,,,
35,appos,plural,gram,e.appos.plural.gram,The,"surgeons,",who,the,nurse,prefers,most,to,"assist,",have,impeccable,records,in,the,operating,room.,,,,
35,appos,singular,gram,e.appos.singular.gram,The,"surgeon,",who,the,nurse,prefers,most,to,"assist,",has,an,impeccable,record,in,the,operating,room.,,,
35,appos,plural,ungram,e.appos.plural.ungram,The,"surgeons,",who,the,nurse,prefer,most,to,"assist,",have,impeccable,records,in,the,operating,room.,,,,
35,appos,singular,ungram,e.appos.singular.ungram,The,"surgeon,",who,the,nurse,prefer,most,to,"assist,",has,an,impeccable,record,in,the,operating,room.,,,
36,restr,plural,gram,e.restr.plural.gram,The,bartenders,who,the,patron,gossips,with,after,work,always,have,new,stories,to,tell.,,,,,
36,restr,singular,gram,e.restr.singular.gram,The,bartender,who,the,patron,gossips,with,after,work,always,has,new,stories,to,tell.,,,,,
36,restr,plural,ungram,e.restr.plural.ungram,The,bartenders,who,the,patron,gossip,with,after,work,always,have,new,stories,to,tell.,,,,,
36,restr,singular,ungram,e.restr.singular.ungram,The,bartender,who,the,patron,gossip,with,after,work,always,has,new,stories,to,tell.,,,,,
36,appos,plural,gram,e.appos.plural.gram,The,"bartenders,",who,the,patron,gossips,with,after,"work,",always,have,new,stories,to,tell.,,,,,
36,appos,singular,gram,e.appos.singular.gram,The,"bartender,",who,the,patron,gossips,with,after,"work,",always,has,new,stories,to,tell.,,,,,
36,appos,plural,ungram,e.appos.plural.ungram,The,"bartenders,",who,the,patron,gossip,with,after,"work,",always,have,new,stories,to,tell.,,,,,
36,appos,singular,ungram,e.appos.singular.ungram,The,"bartender,",who,the,patron,gossip,with,after,"work,",always,has,new,stories,to,tell.,,,,,
37,restr,plural,gram,e.restr.plural.gram,The,columnists,who,the,reader,complains,about,frequently,give,extreme,opinions,without,backing,them,up.,,,,,
37,restr,singular,gram,e.restr.singular.gram,The,columnist,who,the,reader,complains,about,frequently,gives,extreme,opinions,without,backing,them,"up.	",,,,,
37,restr,plural,ungram,e.restr.plural.ungram,The,columnists,who,the,reader,complain,about,frequently,give,extreme,opinions,without,backing,them,up.,,,,,
37,restr,singular,ungram,e.restr.singular.ungram,The,columnist,who,the,reader,complain,about,frequently,gives,extreme,opinions,without,backing,them,"up.	",,,,,
37,appos,plural,gram,e.appos.plural.gram,The,"columnists,",who,the,reader,complains,"about,",frequently,give,extreme,opinions,without,backing,them,up.,,,,,
37,appos,singular,gram,e.appos.singular.gram,The,"columnist,",who,the,reader,complains,"about,",frequently,gives,extreme,opinions,without,backing,them,"up.	",,,,,
37,appos,plural,ungram,e.appos.plural.ungram,The,"columnists,",who,the,reader,complain,"about,",frequently,give,extreme,opinions,without,backing,them,up.,,,,,
37,appos,singular,ungram,e.appos.singular.ungram,The,"columnist,",who,the,reader,complain,"about,",frequently,gives,extreme,opinions,without,backing,them,"up.	",,,,,
38,restr,plural,gram,e.restr.plural.gram,The,anthropologists,who,the,villager,respects,the,most,have,taken,great,pains,to,learn,the,local,customs.,,,
38,restr,singular,gram,e.restr.singular.gram,The,anthropologist,who,the,villager,respects,the,most,has,taken,great,pains,to,learn,the,local,customs.,,,
38,restr,plural,ungram,e.restr.plural.ungram,The,anthropologists,who,the,villager,respect,the,most,have,taken,great,pains,to,learn,the,local,customs.,,,
38,restr,singular,ungram,e.restr.singular.ungram,The,anthropologist,who,the,villager,respect,the,most,has,taken,great,pains,to,learn,the,local,customs.,,,
38,appos,plural,gram,e.appos.plural.gram,The,"anthropologists,",who,the,villager,respects,the,"most,",have,taken,great,pains,to,learn,the,local,customs.,,,
38,appos,singular,gram,e.appos.singular.gram,The,"anthropologist,",who,the,villager,respects,the,"most,",has,taken,great,pains,to,learn,the,local,customs.,,,
38,appos,plural,ungram,e.appos.plural.ungram,The,"anthropologists,",who,the,villager,respect,the,"most,",have,taken,great,pains,to,learn,the,local,customs.,,,
38,appos,singular,ungram,e.appos.singular.ungram,The,"anthropologist,",who,the,villager,respect,the,"most,",has,taken,great,pains,to,learn,the,local,customs.,,,
39,restr,plural,gram,e.restr.plural.gram,The,bricklayers,who,the,contractor,assigns,to,important,projects,often,don't,show,up,on,time.,,,,,
39,restr,singular,gram,e.restr.singular.gram,The,bricklayer,who,the,contractor,assigns,to,important,projects,often,doesn't,show,up,on,time.,,,,,
39,restr,plural,ungram,e.restr.plural.ungram,The,bricklayers,who,the,contractor,assign,to,important,projects,often,don't,show,up,on,time.,,,,,
39,restr,singular,ungram,e.restr.singular.ungram,The,bricklayer,who,the,contractor,assign,to,important,projects,often,doesn't,show,up,on,time.,,,,,
39,appos,plural,gram,e.appos.plural.gram,The,"bricklayers,",who,the,contractor,assigns,to,important,"projects,",often,don't,show,up,on,time.,,,,,
39,appos,singular,gram,e.appos.singular.gram,The,"bricklayer,",who,the,contractor,assigns,to,important,"projects,",often,doesn't,show,up,on,time.,,,,,
39,appos,plural,ungram,e.appos.plural.ungram,The,"bricklayers,",who,the,contractor,assign,to,important,"projects,",often,don't,show,up,on,time.,,,,,
39,appos,singular,ungram,e.appos.singular.ungram,The,"bricklayer,",who,the,contractor,assign,to,important,"projects,",often,doesn't,show,up,on,time.,,,,,
40,restr,plural,gram,e.restr.plural.gram,The,comedians,who,the,prisoner,finds,so,entertaining,can,find,humor,in,the,worst,situations.,,,,,
40,restr,singular,gram,e.restr.singular.gram,The,comedian,who,the,prisoner,finds,so,entertaining,can,find,humor,in,the,worst,situations.,,,,,
40,restr,plural,ungram,e.restr.plural.ungram,The,comedians,who,the,prisoner,find,so,entertaining,can,find,humor,in,the,worst,situations.,,,,,
40,restr,singular,ungram,e.restr.singular.ungram,The,comedian,who,the,prisoner,find,so,entertaining,can,find,humor,in,the,worst,situations.,,,,,
40,appos,plural,gram,e.appos.plural.gram,The,"comedians,",who,the,prisoner,finds,so,"entertaining,",can,find,humor,in,the,worst,situations.,,,,,
40,appos,singular,gram,e.appos.singular.gram,The,"comedian,",who,the,prisoner,finds,so,"entertaining,",can,find,humor,in,the,worst,situations.,,,,,
40,appos,plural,ungram,e.appos.plural.ungram,The,"comedians,",who,the,prisoner,find,so,"entertaining,",can,find,humor,in,the,worst,situations.,,,,,
40,appos,singular,ungram,e.appos.singular.ungram,The,"comedian,",who,the,prisoner,find,so,"entertaining,",can,find,humor,in,the,worst,situations.,,,,,
41,restr,plural,gram,e.restr.plural.gram,The,judges,who,the,criminal,fears,the,most,hand,down,tough,sentences,for,minor,offenses.,,,,,
41,restr,singular,gram,e.restr.singular.gram,The,judge,who,the,criminal,fears,the,most,hands,down,tough,sentences,for,minor,offenses.,,,,,
41,restr,plural,ungram,e.restr.plural.ungram,The,judges,who,the,criminal,fear,the,most,hand,down,tough,sentences,for,minor,offenses.,,,,,
41,restr,singular,ungram,e.restr.singular.ungram,The,judge,who,the,criminal,fear,the,most,hands,down,tough,sentences,for,minor,offenses.,,,,,
41,appos,plural,gram,e.appos.plural.gram,The,"judges,",who,the,criminal,fears,the,"most,",hand,down,tough,sentences,for,minor,offenses.,,,,,
41,appos,singular,gram,e.appos.singular.gram,The,"judge,",who,the,criminal,fears,the,"most,",hands,down,tough,sentences,for,minor,offenses.,,,,,
41,appos,plural,ungram,e.appos.plural.ungram,The,"judges,",who,the,criminal,fear,the,"most,",hand,down,tough,sentences,for,minor,offenses.,,,,,
41,appos,singular,ungram,e.appos.singular.ungram,The,"judge,",who,the,criminal,fear,the,"most,",hands,down,tough,sentences,for,minor,offenses.,,,,,
42,restr,plural,gram,e.restr.plural.gram,The,students,who,the,bully,teases,during,lunch,are,too,afraid,to,tell,the,teachers.,,,,,
42,restr,singular,gram,e.restr.singular.gram,The,student,who,the,bully,teases,during,lunch,is,too,afraid,to,tell,the,teachers.,,,,,
42,restr,plural,ungram,e.restr.plural.ungram,The,students,who,the,bully,tease,during,lunch,are,too,afraid,to,tell,the,teachers.,,,,,
42,restr,singular,ungram,e.restr.singular.ungram,The,student,who,the,bully,tease,during,lunch,is,too,afraid,to,tell,the,teachers.,,,,,
42,appos,plural,gram,e.appos.plural.gram,The,"students,",who,the,bully,teases,during,"lunch,",are,too,afraid,to,tell,the,teachers.,,,,,
42,appos,singular,gram,e.appos.singular.gram,The,"student,",who,the,bully,teases,during,"lunch,",is,too,afraid,to,tell,the,teachers.,,,,,
42,appos,plural,ungram,e.appos.plural.ungram,The,"students,",who,the,bully,tease,during,"lunch,",are,too,afraid,to,tell,the,teachers.,,,,,
42,appos,singular,ungram,e.appos.singular.ungram,The,"student,",who,the,bully,tease,during,"lunch,",is,too,afraid,to,tell,the,teachers.,,,,,
43,restr,plural,gram,e.restr.plural.gram,The,philosophers,who,the,scientist,discusses,during,the,radio,program,rarely,express,their,ideas,in,plain,language.,,,
43,restr,singular,gram,e.restr.singular.gram,The,philosopher,who,the,scientist,discusses,during,the,radio,program,rarely,expresses,his,ideas,in,plain,language.,,,
43,restr,plural,ungram,e.restr.plural.ungram,The,philosophers,who,the,scientist,discuss,during,the,radio,program,rarely,express,their,ideas,in,plain,language.,,,
43,restr,singular,ungram,e.restr.singular.ungram,The,philosopher,who,the,scientist,discuss,during,the,radio,program,rarely,expresses,his,ideas,in,plain,language.,,,
43,appos,plural,gram,e.appos.plural.gram,The,"philosophers,",who,the,scientist,discusses,during,the,radio,"program,",rarely,express,their,ideas,in,plain,language.,,,
43,appos,singular,gram,e.appos.singular.gram,The,"philosopher,",who,the,scientist,discusses,during,the,radio,"program,",rarely,expresses,his,ideas,in,plain,language.,,,
43,appos,plural,ungram,e.appos.plural.ungram,The,"philosophers,",who,the,scientist,discuss,during,the,radio,"program,",rarely,express,their,ideas,in,plain,language.,,,
43,appos,singular,ungram,e.appos.singular.ungram,The,"philosopher,",who,the,scientist,discuss,during,the,radio,"program,",rarely,expresses,his,ideas,in,plain,language.,,,
44,restr,plural,gram,e.restr.plural.gram,The,lawyers,who,the,candidate,consults,every,morning,tell,him,what,campaign,money,he,is,allowed,to,accept.,,
44,restr,singular,gram,e.restr.singular.gram,The,lawyer,who,the,candidate,consults,every,morning,tells,him,what,campaign,money,he,is,allowed,to,accept.,,
44,restr,plural,ungram,e.restr.plural.ungram,The,lawyers,who,the,candidate,consult,every,morning,tell,him,what,campaign,money,he,is,allowed,to,accept.,,
44,restr,singular,ungram,e.restr.singular.ungram,The,lawyer,who,the,candidate,consult,every,morning,tells,him,what,campaign,money,he,is,allowed,to,accept.,,
44,appos,plural,gram,e.appos.plural.gram,The,"lawyers,",who,the,candidate,consults,every,"morning,",tell,him,what,campaign,money,he,is,allowed,to,accept.,,
44,appos,singular,gram,e.appos.singular.gram,The,"lawyer,",who,the,candidate,consults,every,"morning,",tells,him,what,campaign,money,he,is,allowed,to,accept.,,
44,appos,plural,ungram,e.appos.plural.ungram,The,"lawyers,",who,the,candidate,consult,every,"morning,",tell,him,what,campaign,money,he,is,allowed,to,accept.,,
44,appos,singular,ungram,e.appos.singular.ungram,The,"lawyer,",who,the,candidate,consult,every,"morning,",tells,him,what,campaign,money,he,is,allowed,to,accept.,,
45,restr,plural,gram,e.restr.plural.gram,The,musicians,who,the,reviewer,praises,so,highly,will,probably,win,a,Grammy.,,,,,,,
45,restr,singular,gram,e.restr.singular.gram,The,musician,who,the,reviewer,praises,so,highly,will,probably,win,a,Grammy.,,,,,,,
45,restr,plural,ungram,e.restr.plural.ungram,The,musicians,who,the,reviewer,praise,so,highly,will,probably,win,a,Grammy.,,,,,,,
45,restr,singular,ungram,e.restr.singular.ungram,The,musician,who,the,reviewer,praise,so,highly,will,probably,win,a,Grammy.,,,,,,,
45,appos,plural,gram,e.appos.plural.gram,The,"musicians,",who,the,reviewer,praises,so,"highly,",will,probably,win,a,Grammy.,,,,,,,
45,appos,singular,gram,e.appos.singular.gram,The,"musician,",who,the,reviewer,praises,so,"highly,",will,probably,win,a,Grammy.,,,,,,,
45,appos,plural,ungram,e.appos.plural.ungram,The,"musicians,",who,the,reviewer,praise,so,"highly,",will,probably,win,a,Grammy.,,,,,,,
45,appos,singular,ungram,e.appos.singular.ungram,The,"musician,",who,the,reviewer,praise,so,"highly,",will,probably,win,a,Grammy.,,,,,,,
46,restr,plural,gram,e.restr.plural.gram,The,receptionists,who,the,boss,gives,the,biggest,projects,never,fail,to,do,a,stellar,job.,,,,
46,restr,singular,gram,e.restr.singular.gram,The,receptionist,who,the,boss,gives,the,biggest,projects,never,fails,to,do,a,stellar,job.,,,,
46,restr,plural,ungram,e.restr.plural.ungram,The,receptionists,who,the,boss,give,the,biggest,projects,never,fail,to,do,a,stellar,job.,,,,
46,restr,singular,ungram,e.restr.singular.ungram,The,receptionist,who,the,boss,give,the,biggest,projects,never,fails,to,do,a,stellar,job.,,,,
46,appos,plural,gram,e.appos.plural.gram,The,"receptionists,",who,the,boss,gives,the,biggest,"projects,",never,fail,to,do,a,stellar,job.,,,,
46,appos,singular,gram,e.appos.singular.gram,The,"receptionist,",who,the,boss,gives,the,biggest,"projects,",never,fails,to,do,a,stellar,job.,,,,
46,appos,plural,ungram,e.appos.plural.ungram,The,"receptionists,",who,the,boss,give,the,biggest,"projects,",never,fail,to,do,a,stellar,job.,,,,
46,appos,singular,ungram,e.appos.singular.ungram,The,"receptionist,",who,the,boss,give,the,biggest,"projects,",never,fails,to,do,a,stellar,job.,,,,
47,restr,plural,gram,e.restr.plural.gram,The,actresses,who,the,designer,creates,award,show,dresses,for,are,extremely,fickle,and,demanding.,,,,,
47,restr,singular,gram,e.restr.singular.gram,The,actress,who,the,designer,creates,award,show,dresses,for,is,extremely,fickle,and,demanding.,,,,,
47,restr,plural,ungram,e.restr.plural.ungram,The,actresses,who,the,designer,create,award,show,dresses,for,are,extremely,fickle,and,demanding.,,,,,
47,restr,singular,ungram,e.restr.singular.ungram,The,actress,who,the,designer,create,award,show,dresses,for,is,extremely,fickle,and,demanding.,,,,,
47,appos,plural,gram,e.appos.plural.gram,The,"actresses,",who,the,designer,creates,award,show,dresses,"for,",are,extremely,fickle,and,demanding.,,,,,
47,appos,singular,gram,e.appos.singular.gram,The,"actress,",who,the,designer,creates,award,show,dresses,"for,",is,extremely,fickle,and,demanding.,,,,,
47,appos,plural,ungram,e.appos.plural.ungram,The,"actresses,",who,the,designer,create,award,show,dresses,"for,",are,extremely,fickle,and,demanding.,,,,,
47,appos,singular,ungram,e.appos.singular.ungram,The,"actress,",who,the,designer,create,award,show,dresses,"for,",is,extremely,fickle,and,demanding.,,,,,
48,restr,plural,gram,e.restr.plural.gram,The,programmers,who,the,manager,oversees,at,the,software,firm,are,eccentric,and,difficult,to,control.,,,,
48,restr,singular,gram,e.restr.singular.gram,The,programmer,who,the,manager,oversees,at,the,software,firm,is,eccentric,and,difficult,to,control.,,,,
48,restr,plural,ungram,e.restr.plural.ungram,The,programmers,who,the,manager,oversee,at,the,software,firm,are,eccentric,and,difficult,to,control.,,,,
48,restr,singular,ungram,e.restr.singular.ungram,The,programmer,who,the,manager,oversee,at,the,software,firm,is,eccentric,and,difficult,to,control.,,,,
